Name,Points,Tiebreaker,ELO
Araya,17,9,1850
Yujito,17,9,1783.333333
pokeguy,17,9,1883.333333
Sinned,13,9,1833.333333
Square,13,9,1766.666667
EkmanLarsson,13,9,1616.666667
tehhammershow,13,9,1683.333333
icy,12,4,622.2222222
Liam,11,7,1400
MaddiicT,11,7,1900
Primalpizza,11,7,1716.666667
crafted,11,7,1816.666667
KinkMyBoot,11,7,1866.666667
DerTeppich,11,7,1666.666667
MchanPlayz,11,7,1355.555556
KaiWhen,11,7,1444.444444
Ananan,11,7,1700
Hwangbro,9,9,1800
GoodAtBeingSimple,9,9,1750
prieR57,9,5,1511.111111
DiRamz,9,5,1311.111111
LionHeart,9,5,533.3333333
Leostarr3000,9,5,1288.888889
Slayerlol99,7,7,1633.333333
Artikodin25,6,2,1200
Elrevolver385,6,2,1555.555556
asapaska,6,2,1111.111111
wartab,6,2,1066.666667
Ætienne,6,2,1488.888889
Flutz,6,2,1533.333333
BillBonzai,5,1,1466.666667
tortoisecity,5,1,1244.444444
Yakso,5,-1,933.3333333
BarpTheWire,5,-1,1422.222222
Data Kanga,5,-1,711.1111111
Terra,3,3,888.8888889
blaketurnertron,3,3,1155.555556
ElReyDelCringe,2,-1,1333.333333
Chippytoothy,2,-1,800
Joshimuz,1,1,844.4444444
Alex,0,0,1377.777778
Frank,0,0,1222.222222
nohandsop,0,0,1266.666667
UnzipsCrogre,0,0,488.8888889
Voliharmin,0,0,444.4444444
MachWing,0,0,1022.222222
PrincePecky,0,0,755.5555556
TikTak,0,-1,977.7777778
MachWing,0,0,1022.222222
PrincePecky,0,0,755.5555556
GreenBomber,0,-1,577.7777778
