Name,Points,Tiebreaker,ELO
Araya,17,9,1200
Yujito,17,9,1200
pokeguy,17,9,1200
Sinned,13,9,1200
Square,13,9,1200
EkmanLarsson,13,9,1200
tehhammershow,13,9,1200
icy,12,4,1200
Liam,11,7,1200
MaddiicT,11,7,1200
Primalpizza,11,7,1200
crafted,11,7,1200
KinkMyBoot,11,7,1200
DerTeppich,11,7,1200
MchanPlayz,11,7,1200
KaiWhen,11,7,1200
Ananan,11,7,1200
Hwangbro,9,9,1200
GoodAtBeingSimple,9,9,1200
prieR57,9,5,1200
DiRamz,9,5,1200
LionHeart,9,5,1200
Leostarr3000,9,5,1200
Slayerlol99,7,7,1200
Artikodin25,6,2,1200
Elrevolver385,6,2,1200
asapaska,6,2,1200
wartab,6,2,1200
Ætienne,6,2,1200
Flutz,6,2,1200
BillBonzai,5,1,1200
tortoisecity,5,1,1200
Yakso,5,-1,1200
BarpTheWire,5,-1,1200
Data Kanga,5,-1,1200
Terra,3,3,1200
blaketurnertron,3,3,1200
ElReyDelCringe,2,-1,1200
Chippytoothy,2,-1,1200
Joshimuz,1,1,1200
Alex,0,0,1200
Frank,0,0,1200
nohandsop,0,0,1200
UnzipsCrogre,0,0,1200
Voliharmin,0,0,1200
MachWing,0,0,1200
PrincePecky,0,0,1200
TikTak,0,-1,1200
MachWing,0,0,1200
PrincePecky,0,0,1200
GreenBomber,0,-1,1200
